time,torque,rpm,vel,brake_pos
0,Inf,3755.0836,15.729257,0
0.015893948,109.64307,3783.4962,15.848272,100
0.031668538,108.89159,3811.4576,15.965396,100
0.047327404,108.15169,3838.9812,16.080687,100
0.062874004,107.42303,3866.08,16.194198,100
0.078311631,106.70531,3892.7663,16.305981,100
0.093643429,105.99822,3919.0518,16.416086,100
0.10887239,105.30147,3944.9476,16.524558,100
0.12400139,104.61479,3970.4645,16.631443,100
0.13903316,103.93791,3995.6127,16.736784,100
0.15397032,103.27057,4020.402,16.840621,100
0.16881538,102.61254,4044.8418,16.942994,100
0.18357074,101.96358,4068.941,17.04394,100
0.19823871,101.32347,4092.7082,17.143496,100
0.2128215,100.69199,4116.1518,17.241696,100
0.22732123,100.06893,4139.2797,17.338574,100
0.24173995,99.454092,4162.0995,17.434162,100
0.25607961,98.847287,4184.6185,17.528489,100
0.27034211,98.248327,4206.8439,17.621586,100
0.28452925,97.657036,4228.7824,17.713482,100
0.29899651,0,4185.9479,17.534058,100
0.31368158,0,4125.3928,17.280405,100
0.32859362,0,4064.2017,17.024088,100
0.34374244,0,4002.3436,16.764978,100
0.35913861,0,3939.7853,16.502934,100
0.37479352,0,3876.4909,16.237807,100
0.39071947,0,3812.4217,15.969435,100
0.40692983,0,3747.5359,15.697642,100
0.42343909,0,3681.788,15.422237,100
0.44026307,0,3615.1286,15.143015,100
0.45741903,0,3547.5038,14.859749,100
0.47492594,0,3478.8546,14.572192,100
0.49280468,0,3409.1161,14.280072,100
0.51107831,0,3338.2169,13.98309,100
0.52977245,0,3266.0779,13.680915,100
0.54891565,0,3192.6112,13.373178,100
0.56853992,0,3117.7186,13.059469,100
0.58868135,0,3041.29,12.739326,100
0.60938085,0,2963.2011,12.412228,100
0.63068516,0,2883.3107,12.077584,100
0.65264802,0,2801.4575,11.734718,100
0.67533183,0,2717.4555,11.382851,100
0.69880967,0,2631.0886,11.021078,100
0.72316814,0,2542.1034,10.648338,100
0.74851113,0,2450.1991,10.26337,100
0.77496512,0,2355.0146,9.864662,100
0.80141912,0,2256.1092,9.4503682,0
0.82787311,0.0018665874,2254.1324,9.4420879,0
0.85432711,8.5080536,2256.1092,9.4503682,0
0.8807811,0.0018665874,2254.1324,9.4420879,0
0.9072351,8.5080536,2256.1092,9.4503682,0
0.9336891,0.0018665874,2254.1324,9.4420879,0
0.96014309,8.5080536,2256.1092,9.4503682,0
0.98659709,0.0018665874,2254.1324,9.4420879,0
1.0130511,8.5080536,2256.1092,9.4503682,0
1.0395051,0.0018665874,2254.1324,9.4420879,0
1.0659591,8.5080536,2256.1092,9.4503682,0
1.0924131,0.0018665874,2254.1324,9.4420879,0
1.1188671,8.5080536,2256.1092,9.4503682,0
1.1453211,0.0018665874,2254.1324,9.4420879,0
1.1717751,8.5080536,2256.1092,9.4503682,0
1.1982291,0.0018665874,2254.1324,9.4420879,0
1.224683,8.5080536,2256.1092,9.4503682,0
1.251137,0.0018665874,2254.1324,9.4420879,0
1.277591,8.5080536,2256.1092,9.4503682,0
1.304045,0.0018665874,2254.1324,9.4420879,0
1.330499,8.5080536,2256.1092,9.4503682,0
1.356953,0.0018665874,2254.1324,9.4420879,0
1.383407,8.5080536,2256.1092,9.4503682,0
1.409861,0.0018665874,2254.1324,9.4420879,0
1.436315,8.5080536,2256.1092,9.4503682,0
1.462769,0.0018665874,2254.1324,9.4420879,0
1.489223,8.5080536,2256.1092,9.4503682,0
1.515677,0.0018665874,2254.1324,9.4420879,0
1.542131,8.5080536,2256.1092,9.4503682,0
1.568585,0.0018665874,2254.1324,9.4420879,0
1.595039,8.5080536,2256.1092,9.4503682,0
1.621493,0.0018665874,2254.1324,9.4420879,0
1.647947,8.5080536,2256.1092,9.4503682,0
1.674401,0.0018665874,2254.1324,9.4420879,0
1.700855,8.5080536,2256.1092,9.4503682,0
1.727309,0.0018665874,2254.1324,9.4420879,0
1.753763,8.5080536,2256.1092,9.4503682,0
1.780217,0.0018665874,2254.1324,9.4420879,0
1.806671,8.5080536,2256.1092,9.4503682,0
1.8331249,0.0018665874,2254.1324,9.4420879,0
1.8595789,8.5080536,2256.1092,9.4503682,0
1.8860329,0.0018665874,2254.1324,9.4420879,0
1.9124869,8.5080536,2256.1092,9.4503682,0
1.9389409,0.0018665874,2254.1324,9.4420879,0
1.9653949,8.5080536,2256.1092,9.4503682,0
1.9918489,0.0018665874,2254.1324,9.4420879,0
2.0183029,8.5080536,2256.1092,9.4503682,0
2.0447569,0.0018665874,2254.1324,9.4420879,0
2.0712341,140.46637,2318.3864,9.7112344,0
2.0969775,140.57468,2380.8008,9.9726752,0
2.122046,140.67188,2441.5218,10.227022,0
2.146491,140.75962,2500.6769,10.474811,0
2.1703578,140.83921,2558.3784,10.71651,0
2.1936863,140.69137,2614.6332,10.95215,0
2.2165129,139.27619,2669.0197,11.179964,0
2.2388743,137.90143,2721.6739,11.400521,0
2.2608031,136.56482,2772.7158,11.614325,0
2.2823283,135.26423,2822.2524,11.821823,0
2.3034756,133.99774,2870.3793,12.023417,0
2.3242684,132.76355,2917.1825,12.219465,0
2.3447275,131.56002,2962.7396,12.410295,0
2.3648721,130.38561,3007.1209,12.596199,0
2.3847193,129.23893,3050.3904,12.777446,0
2.4042851,128.11867,3092.6066,12.95428,0
2.4235837,127.02361,3133.8228,13.126926,0
2.4426285,125.95262,3174.0884,13.29559,0
2.4614318,124.90467,3213.4485,13.460462,0
2.4800047,123.87875,3251.9451,13.621716,0
2.4983577,122.87397,3289.6168,13.779515,0
2.5171254,0,3253.8046,13.629505,100
2.5363472,0,3180.105,13.320793,100
2.5560559,0,3104.9619,13.006034,100
2.5762883,0,3028.2629,12.684758,100
2.5970862,0,2949.8811,12.356433,100
2.6184974,0,2869.6722,12.020455,100
2.640577,0,2787.4709,11.676131,100
2.663389,0,2703.0868,11.322664,100
2.6870086,0,2616.298,10.959124,100
2.7115251,0,2526.8439,10.584419,100
2.7370455,0,2434.4146,10.197252,100
2.763701,0,2338.6369,9.7960595,100
2.7916543,0,2239.0548,9.3789308,100
2.8211122,0,2135.1004,8.9434874,100
2.8523441,0,2026.0515,8.4867048,100
2.883576,0,1910.9655,8.0046335,0
2.9148079,0.0018812747,1908.9811,7.9963213,0
2.9460398,7.2338917,1910.9655,8.0046335,0
2.9772717,0.0018812747,1908.9811,7.9963213,0
3.0085036,7.2338917,1910.9655,8.0046335,0
3.0397355,0.0018812747,1908.9811,7.9963213,0
3.0709674,7.2338917,1910.9655,8.0046335,0
3.1021994,0.0018812747,1908.9811,7.9963213,0
3.1334313,7.2338917,1910.9655,8.0046335,0
3.1646632,0.0018812747,1908.9811,7.9963213,0
3.1958951,7.2338917,1910.9655,8.0046335,0
3.227127,0.0018812747,1908.9811,7.9963213,0
3.2583589,7.2338917,1910.9655,8.0046335,0
3.2895908,0.0018812747,1908.9811,7.9963213,0
3.3208227,7.2338917,1910.9655,8.0046335,0
3.3520546,0.0018812747,1908.9811,7.9963213,0
3.3832866,7.2338917,1910.9655,8.0046335,0
3.4145185,0.0018812747,1908.9811,7.9963213,0
3.4457504,7.2338917,1910.9655,8.0046335,0
3.4769823,0.0018812747,1908.9811,7.9963213,0
3.5082142,7.2338917,1910.9655,8.0046335,0
3.5394461,139.70057,1987.1053,8.3235674,0
3.5694813,139.90355,2060.2584,8.6299903,0
3.5984501,140.07871,2130.7473,8.9252536,0
3.6264605,140.23142,2198.84,9.2104794,0
3.6536035,140.36578,2264.7617,9.4866117,0
3.6799564,140.4849,2328.7043,9.7544539,0
3.7055857,140.59127,2390.8326,10.014696,0
3.730549,140.68682,2451.2895,10.267937,0
3.7548967,140.77315,2510.1998,10.5147,0
3.7786729,140.85152,2567.6736,10.755446,0
3.8019169,140.45804,2623.6141,10.989769,0
3.8246654,139.0496,2677.7097,11.216364,0
3.8469542,137.68121,2730.0935,11.435789,0
3.8688154,136.3506,2780.8832,11.648536,0
3.8902773,135.0557,2830.184,11.855047,0
3.9113654,133.79458,2878.0897,12.055714,0
3.9321025,132.5655,2924.6849,12.250892,0
3.9525091,131.36681,2970.0459,12.440899,0
3.9726041,130.19701,3014.2419,12.626027,0
3.9924045,129.05472,3057.3361,12.806539,0
4.0119258,127.93864,3099.3858,12.982677,0
4.0311822,126.84758,3140.444,13.154661,0
4.0501869,125.78041,3180.5591,13.322695,0
4.0689519,124.73611,3219.7758,13.486966,0
4.0874883,123.7137,3258.1355,13.647646,0
4.1058065,122.71228,3295.6764,13.804897,0
4.1245113,0,3264.2846,13.673403,100
4.1436659,0,3190.7839,13.365524,100
