speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
62.8729913188827,0.164832686218651,3,0,8.43592302517833,1,4.615,3848.35133708759,140.794699474746,56.7400399732515,489.950344602986,185.246243365793,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,2.20233797567011E-10,-3.19985068596649E-09,0.0231438442555197,3.25624993960049,0,3825.35034460299,
63.3040102369408,0.179147258837525,3.25,0,8.36402737448804,1,4.615,3874.73328893725,139.816835622403,56.732235980798,496.690972538096,187.79482000557,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,7.34112658556703E-11,-1.07409560705901E-09,0.0252478300969306,3.52954538865508,0,3832.0909725381,
63.7284687537392,0.193364367621493,3.5,0,8.29318712733519,1,4.615,3900.71368952571,138.853855523371,56.7192703916109,503.374009240203,190.321621868204,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,2.44704219518901E-11,-3.60486317353971E-10,0.0273518159383415,3.80284083770967,0,3838.7740092402,
64.1465508026497,0.207486784456547,3.75,0,8.22337308348499,1,4.615,3926.30379710906,137.905341883216,56.7013771777795,510.000308635505,192.826971816251,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,8.1568073172967E-12,-1.20967802438089E-10,0.0294558017797524,4.07613628676426,0,3845.4003086355,
64.5584321195151,0.221517156919891,4,0,8.15455735091669,1,4.615,3951.51436818625,136.970896005452,56.6787782473896,516.570700539432,195.311183596181,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,2.71893577243223E-12,-4.05871318126536E-11,0.0315597876211632,4.34943173581885,0,3851.97070053943,
64.9642807455895,0.235458015928577,4.25,0,8.08671326457423,1,4.615,3976.35568828325,136.050136650505,56.6516842279903,523.085991766791,197.774562258115,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,9.06311924144077E-13,-1.36159131513001E-11,0.0336637734625741,4.62272718487344,0,3858.48599176679,
65.3642574914426,0.249311782793549,4.5,0,8.01981531151548,1,4.615,4000.83760034786,135.142698983245,56.6202951874882,529.546967170765,200.217404548664,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,3.02103974714692E-13,-4.56717000670589E-12,0.035767759303985,4.89602263392803,0,3864.94696717076,
64.9218449073346,0.263368440266613,4.75,0,-17.6911795847234,1,4.615,3973.75826112951,136.14641194269,56.6547414603419,522.402836582073,197.516266834918,0,0,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.00701324904898E-13,-1.5004161699855E-12,0.0378717451453959,5.16931808298262,0,3857.80283658207,
64.0266010411537,0.277626406356683,5,0,-17.6118572494375,1,4.615,3918.96187150072,138.177475033178,56.707030858874,508.094758965709,192.106498972901,0,0,100,0,1,0,1.5,1.5,1.20741826972573E-06,3.35671083016325E-14,-4.93077250880858E-13,0.0399757309868067,5.44261353203721,0,3843.49475896571,
63.1226076927494,0.292093659769854,5.25,0,-17.5328766254985,1,4.615,3863.62994060204,140.228388302009,56.7361789126864,493.848438232515,186.720080886499,0,0,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.11890361005442E-14,-1.61981419279936E-13,0.0420797168282176,5.7159089810918,0,3829.24843823252,
62.2094584436188,0.306778733907864,5.5,0,-17.4542355248554,1,4.615,3807.73759223215,142.300073801434,56.7414924794672,479.663488983498,181.356866859485,0,0,100,0,1,0,1.5,1.5,1.20741826972573E-06,3.72967870018139E-15,-5.31929272521805E-14,0.0441837026696285,5.98920443014639,0,3815.0634889835,
